"id","user_id","content_id","engagement_type","engagement_value","created_date"
"305","5","42933","MillisecondsEngagedWith","5934","2022-11-09 11:34:38"
"306","5","84158","Like","-1","2022-11-09 11:34:44"
"307","5","29862","Like","-1","2022-11-09 11:34:56"
"308","5","29862","MillisecondsEngagedWith","5484","2022-11-09 11:34:59"
"309","5","121627","MillisecondsEngagedWith","1316","2022-11-09 11:35:06"
"310","5","72848","Like","-1","2022-11-09 11:35:14"
"311","5","72848","MillisecondsEngagedWith","6983","2022-11-09 11:35:17"
"312","5","88446","MillisecondsEngagedWith","1666","2022-11-09 11:35:22"
"313","5","47835","MillisecondsEngagedWith","2268","2022-11-09 11:35:28"
"314","5","49856","MillisecondsEngagedWith","1717","2022-11-09 11:35:30"
"315","5","96687","MillisecondsEngagedWith","1232","2022-11-09 11:35:57"
"316","5","80540","MillisecondsEngagedWith","1670","2022-11-09 11:36:06"
"317","5","75298","MillisecondsEngagedWith","1118","2022-11-09 11:36:15"
"318","5","99642","MillisecondsEngagedWith","2885","2022-11-09 11:36:48"
"319","5","33361","MillisecondsEngagedWith","1058","2022-11-09 11:36:53"
"320","5","31076","MillisecondsEngagedWith","1055","2022-11-09 11:37:20"
"321","5","121265","MillisecondsEngagedWith","1751","2022-11-09 11:37:35"
"322","5","113604","MillisecondsEngagedWith","2618","2022-11-09 11:37:38"
"323","5","61038","MillisecondsEngagedWith","2181","2022-11-09 11:37:45"
"324","5","73482","MillisecondsEngagedWith","1101","2022-11-09 11:37:48"
"325","5","74862","MillisecondsEngagedWith","4001","2022-11-09 11:37:55"
"326","5","116244","Like","-1","2022-11-09 11:38:03"
"327","5","116244","MillisecondsEngagedWith","11784","2022-11-09 11:38:09"
"328","5","113360","MillisecondsEngagedWith","2283","2022-11-09 11:39:38"
"329","5","59831","MillisecondsEngagedWith","2150","2022-11-09 11:39:48"
"330","5","35488","MillisecondsEngagedWith","1567","2022-11-09 11:39:50"
"331","5","69758","MillisecondsEngagedWith","1731","2022-11-09 11:40:03"
"332","5","99310","MillisecondsEngagedWith","1868","2022-11-09 11:40:09"
"333","6","30887","MillisecondsEngagedWith","155122","2022-11-09 12:48:14"
"334","6","28862","MillisecondsEngagedWith","2422","2022-11-09 12:48:23"
